epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9492,2.69068,3.04972,2.22243,0.16138,0.16546,0.09011,0.02709,2.53038,3.17687,2.18409,0.000552082,0.000552082,0.000552082
2,78.5304,2.56223,2.58544,2.13392,0.17427,0.17174,0.09506,0.03043,2.68402,3.0153,2.39508,0.00108581,0.00108581,0.00108581
3,112.267,2.5378,2.52517,2.11443,0.1697,0.23198,0.11366,0.03397,2.57616,3.0855,2.14566,0.00159754,0.00159754,0.00159754
4,144.245,2.51546,2.45317,2.08957,0.22577,0.17243,0.09305,0.03004,2.57474,3.1373,2.20498,0.00156798,0.00156798,0.00156798
5,55.2958,2.50426,2.45599,2.06878,0.24744,0.19816,0.14135,0.04685,2.44797,2.61899,2.1174,0.00153497,0.00153497,0.00153497
6,112.586,2.47703,2.43083,2.0556,0.22359,0.23502,0.15177,0.048,2.43417,2.83323,2.09576,0.00150197,0.00150197,0.00150197
7,169.62,2.45579,2.41497,2.04479,0.26114,0.21575,0.14948,0.04711,2.50613,3.22157,2.10175,0.00146896,0.00146896,0.00146896
8,225.332,2.4416,2.36561,2.02896,0.2048,0.22473,0.14246,0.04294,2.4139,2.63397,2.08476,0.00143595,0.00143595,0.00143595
9,281.628,2.42773,2.35044,1.99491,0.23429,0.21996,0.15258,0.04768,2.46063,2.60322,2.11238,0.00140295,0.00140295,0.00140295
10,338.894,2.41013,2.33513,1.98363,0.17955,0.28449,0.1501,0.0481,2.412,2.64228,1.95847,0.00136994,0.00136994,0.00136994
11,395.81,2.39524,2.31742,1.97056,0.25853,0.26156,0.19993,0.06743,2.39428,2.39956,1.98385,0.00133693,0.00133693,0.00133693
12,451.787,2.38939,2.29554,1.97809,0.22544,0.27746,0.16985,0.05586,2.35694,2.5383,1.9896,0.00130393,0.00130393,0.00130393
13,507.989,2.37687,2.27532,1.97703,0.25297,0.25284,0.19042,0.0682,2.35044,2.50118,2.0683,0.00127092,0.00127092,0.00127092
14,564.929,2.36685,2.27393,1.97897,0.2713,0.28262,0.21186,0.06904,2.33996,2.42033,2.03779,0.00123791,0.00123791,0.00123791
15,621.984,2.3699,2.25323,1.94883,0.31685,0.28388,0.22959,0.0766,2.31805,2.42517,2.04465,0.00120491,0.00120491,0.00120491
16,678.06,2.35574,2.2291,1.93902,0.25619,0.30114,0.2119,0.07289,2.32823,2.3682,1.98195,0.0011719,0.0011719,0.0011719
17,733.658,2.34358,2.23342,1.93524,0.31346,0.27949,0.22936,0.07921,2.30929,2.35847,1.9962,0.00113889,0.00113889,0.00113889
18,794.295,2.34429,2.2175,1.93583,0.25973,0.31528,0.21993,0.07553,2.32476,2.36848,1.9998,0.00110589,0.00110589,0.00110589
19,860.155,2.34185,2.21629,1.94027,0.24319,0.30407,0.19394,0.06856,2.32056,2.40135,2.00337,0.00107288,0.00107288,0.00107288
20,916.511,2.33077,2.22062,1.92815,0.30834,0.30221,0.23967,0.08405,2.32585,2.32508,2.01519,0.00103987,0.00103987,0.00103987
21,972.356,2.31215,2.1948,1.91325,0.24277,0.30528,0.19249,0.06858,2.30146,2.3949,2.00047,0.00100687,0.00100687,0.00100687
